user_id,Age,Occupation,Monthly Income,Family size
83,23,Student,No Income,3
84,22,Student,No Income,3
85,23,Student,No Income,3
86,24,Student,No Income,4
87,24,Student,No Income,5
88,25,Student,No Income,1
89,25,Student,No Income,5
90,28,Self Employeed,10001 to 25000,2
91,27,Employee,25001 to 50000,5
92,26,Self Employeed,10001 to 25000,1
93,22,Student,No Income,2
94,24,Student,No Income,3
95,23,Student,No Income,1
96,25,Student,No Income,1
97,23,Student,No Income,5
98,23,Student,No Income,5
99,26,Employee,25001 to 50000,5
100,32,House wife,No Income,3
101,24,Student,10001 to 25000,3
102,23,Student,No Income,2
103,22,Employee,10001 to 25000,3
104,24,Student,No Income,3
105,26,Employee,25001 to 50000,2
106,28,Employee,More than 50000,3
107,26,Employee,More than 50000,2
108,25,Student,No Income,1
109,25,Employee,Below Rs.10000,2
110,18,Student,No Income,5
111,21,Student,No Income,4
112,25,Student,No Income,1
113,25,Student,Below Rs.10000,2
114,23,Student,No Income,5
115,23,Employee,10001 to 25000,2
116,25,Employee,25001 to 50000,4
117,31,House wife,No Income,5
118,24,Self Employeed,More than 50000,2
119,32,Employee,25001 to 50000,5
120,25,Employee,25001 to 50000,3
121,27,Self Employeed,More than 50000,5
122,26,Self Employeed,25001 to 50000,3
123,26,Self Employeed,25001 to 50000,3
124,32,Employee,More than 50000,5
125,24,Self Employeed,More than 50000,6
126,27,Self Employeed,25001 to 50000,3
127,23,Student,No Income,3
128,25,Student,No Income,4
129,23,Student,No Income,3
130,23,Student,No Income,4
131,28,Employee,More than 50000,3
132,32,Employee,More than 50000,1
133,23,Student,No Income,2
134,19,Student,No Income,2
135,19,Student,No Income,4
136,27,Employee,25001 to 50000,2
137,25,Self Employeed,25001 to 50000,3
138,33,Employee,More than 50000,5
139,26,Employee,More than 50000,3
140,22,Student,Below Rs.10000,4
141,23,Student,No Income,3
142,22,Student,No Income,3
143,25,Employee,25001 to 50000,2
144,30,House wife,No Income,5
145,24,Student,No Income,3
146,25,Employee,10001 to 25000,3
147,23,Student,More than 50000,3
148,24,Student,No Income,4
149,32,Employee,10001 to 25000,4
150,22,Student,No Income,4
151,23,Student,More than 50000,3
152,23,Student,No Income,4
153,20,Student,No Income,2
154,21,Student,No Income,2
155,24,Self Employeed,10001 to 25000,5
156,23,Student,No Income,4
157,25,Employee,25001 to 50000,3
158,32,House wife,No Income,3
159,27,Employee,More than 50000,5
160,20,Student,No Income,2
161,21,Student,No Income,2
162,26,Employee,More than 50000,3
163,25,Employee,10001 to 25000,4
164,26,Employee,25001 to 50000,3
165,26,Employee,25001 to 50000,3
166,27,Employee,More than 50000,4
167,27,Student,No Income,5
168,24,Student,No Income,5
169,25,Self Employeed,More than 50000,2
170,20,Student,No Income,2
171,22,Student,No Income,1
172,26,Student,Below Rs.10000,3
173,27,Employee,25001 to 50000,1
174,25,Student,No Income,3
175,24,Employee,Below Rs.10000,2
176,23,Employee,10001 to 25000,6
177,22,Student,No Income,2
178,26,Self Employeed,More than 50000,3
179,26,Employee,Below Rs.10000,1
180,25,Self Employeed,25001 to 50000,3
181,29,Employee,More than 50000,3
182,23,Student,Below Rs.10000,3
183,22,Employee,25001 to 50000,4
184,22,Student,No Income,2
185,32,House wife,No Income,5
186,28,Employee,More than 50000,1
187,22,Student,No Income,2
188,25,Employee,10001 to 25000,2
189,26,Employee,25001 to 50000,2
190,31,Self Employeed,More than 50000,6
191,24,Student,No Income,3
192,24,Employee,25001 to 50000,2
193,31,Employee,More than 50000,5
194,26,Employee,25001 to 50000,2
195,24,Self Employeed,More than 50000,2
196,22,Student,No Income,3
197,19,Student,No Income,6
198,25,Employee,More than 50000,6
199,23,House wife,No Income,6
200,23,Student,No Income,2
201,23,Student,No Income,2
202,24,Student,No Income,5
203,22,Employee,25001 to 50000,4
204,26,Employee,More than 50000,4
205,25,Student,No Income,3
206,20,Student,No Income,2
207,29,Employee,25001 to 50000,4
208,23,Student,No Income,1
209,25,Self Employeed,More than 50000,2
210,29,Employee,25001 to 50000,4
211,27,Self Employeed,25001 to 50000,6
212,25,Self Employeed,10001 to 25000,3
213,21,Student,No Income,2
214,23,Student,No Income,3
215,24,Employee,10001 to 25000,4
216,32,Self Employeed,10001 to 25000,3
217,28,Employee,25001 to 50000,5
218,26,Employee,10001 to 25000,2
219,31,House wife,No Income,5
220,27,Self Employeed,25001 to 50000,3
221,21,Student,No Income,1
222,23,Student,No Income,2
223,26,Employee,10001 to 25000,4
224,32,Employee,More than 50000,5
225,25,Student,No Income,2
226,28,Self Employeed,10001 to 25000,2
227,21,Student,No Income,3
228,24,Student,No Income,2
229,26,Self Employeed,10001 to 25000,5
230,32,Employee,25001 to 50000,3
231,29,Self Employeed,More than 50000,6
232,21,Student,No Income,5
233,24,Self Employeed,25001 to 50000,3
234,26,Self Employeed,More than 50000,2
235,25,Employee,More than 50000,3
236,29,Employee,25001 to 50000,3
237,22,Student,No Income,3
238,24,Student,No Income,2
239,27,Employee,25001 to 50000,2
240,23,Student,No Income,3
241,32,Employee,More than 50000,6
242,22,Student,No Income,2
243,28,Employee,25001 to 50000,3
244,23,Student,No Income,2
245,30,Self Employeed,More than 50000,1
246,21,Student,No Income,3
247,26,Employee,Below Rs.10000,6
248,25,Self Employeed,More than 50000,3
249,31,Employee,Below Rs.10000,1
250,23,Employee,25001 to 50000,2
251,29,Employee,25001 to 50000,3
252,21,Student,No Income,6
253,20,Student,No Income,3
254,22,Employee,10001 to 25000,2
255,30,House wife,No Income,6
256,27,Self Employeed,More than 50000,3
257,23,Student,No Income,2
258,30,Self Employeed,25001 to 50000,6
259,23,Student,No Income,3
260,28,Employee,25001 to 50000,6
261,30,Self Employeed,More than 50000,6
262,24,Employee,25001 to 50000,2
263,21,Student,No Income,2
264,23,Employee,10001 to 25000,3
265,25,Self Employeed,More than 50000,4
266,24,Employee,25001 to 50000,2
267,26,Employee,10001 to 25000,3
268,25,Employee,25001 to 50000,2
269,22,Student,25001 to 50000,3
270,26,Employee,25001 to 50000,2
271,23,Employee,10001 to 25000,2
272,21,Employee,Below Rs.10000,2
273,25,Self Employeed,25001 to 50000,3
274,24,Employee,10001 to 25000,2
275,22,Student,No Income,2
276,23,Student,No Income,4
277,24,Employee,More than 50000,3
278,22,Student,No Income,2
279,30,Employee,More than 50000,5
280,23,Employee,10001 to 25000,4
281,19,Student,No Income,6
282,21,Student,No Income,2
283,23,Student,No Income,4
284,24,Employee,25001 to 50000,3
285,26,Employee,10001 to 25000,2
286,26,Student,No Income,2
287,25,Student,10001 to 25000,2
288,28,Employee,25001 to 50000,5
289,25,Student,No Income,3
290,20,Student,No Income,2
291,27,Self Employeed,More than 50000,6
292,25,Employee,25001 to 50000,3
293,24,Student,No Income,5
294,25,Employee,More than 50000,1
295,25,Employee,25001 to 50000,3
296,24,Student,Below Rs.10000,5
297,24,Student,No Income,3
298,22,Employee,10001 to 25000,1
299,28,Employee,25001 to 50000,2
300,25,Employee,More than 50000,6
301,22,Student,Below Rs.10000,3
302,22,Student,No Income,6
303,22,Student,Below Rs.10000,4
304,27,Employee,More than 50000,2
305,22,Student,No Income,3
306,24,Student,No Income,3
307,23,Student,No Income,2
308,23,Student,No Income,4
309,22,Student,No Income,5
310,23,Student,Below Rs.10000,2
311,32,Employee,More than 50000,5
312,25,Student,No Income,2
313,28,Self Employeed,10001 to 25000,2
314,21,Student,No Income,3
315,24,Student,No Income,2
316,26,Self Employeed,10001 to 25000,5
317,32,Employee,25001 to 50000,3
318,29,Self Employeed,More than 50000,6
319,21,Student,No Income,5
320,24,Self Employeed,25001 to 50000,3
321,26,Self Employeed,More than 50000,2
322,21,Employee,More than 50000,3
323,29,Employee,25001 to 50000,3
324,22,Student,No Income,3
325,24,Student,No Income,2
326,27,Employee,25001 to 50000,2
327,23,Student,No Income,3
328,32,Employee,More than 50000,6
329,22,Student,No Income,2
330,22,Employee,25001 to 50000,4
331,26,Employee,More than 50000,4
332,25,Student,No Income,3
333,20,Student,No Income,2
334,29,Employee,25001 to 50000,4
335,23,Student,No Income,1
336,25,Self Employeed,More than 50000,2
337,29,Employee,25001 to 50000,4
338,27,Self Employeed,25001 to 50000,6
339,25,Self Employeed,10001 to 25000,3
340,21,Student,No Income,2
341,23,Student,No Income,3
342,24,Employee,10001 to 25000,4
343,22,Self Employeed,10001 to 25000,3
344,28,Employee,25001 to 50000,5
345,26,Employee,10001 to 25000,2
346,22,Employee,25001 to 50000,4
347,26,Employee,More than 50000,4
348,25,Student,No Income,3
349,20,Student,No Income,2
350,29,Employee,25001 to 50000,4
351,23,Student,No Income,1
352,25,Self Employeed,More than 50000,2
353,29,Employee,25001 to 50000,4
354,27,Self Employeed,25001 to 50000,6
355,25,Self Employeed,10001 to 25000,3
356,21,Student,No Income,2
357,24,Student,No Income,2
358,26,Self Employeed,10001 to 25000,5
359,32,Employee,25001 to 50000,3
360,29,Self Employeed,More than 50000,6
361,21,Student,No Income,5
362,24,Self Employeed,25001 to 50000,3
363,26,Self Employeed,More than 50000,2
364,31,Employee,More than 50000,3
365,29,Employee,25001 to 50000,3
366,22,Student,No Income,3
367,24,Student,No Income,2
368,27,Employee,25001 to 50000,2
369,23,Student,No Income,3
370,30,Employee,More than 50000,6
371,22,Student,No Income,2
372,28,Employee,25001 to 50000,3
373,23,Student,No Income,2
374,30,Self Employeed,More than 50000,1
375,21,Student,No Income,3
376,26,Employee,Below Rs.10000,6
377,25,Self Employeed,More than 50000,3
378,31,Employee,Below Rs.10000,1
379,23,Employee,25001 to 50000,2
380,22,Student,Below Rs.10000,4
381,27,Employee,More than 50000,2
382,22,Student,No Income,3
383,24,Student,No Income,3
384,23,Student,No Income,2
385,23,Student,No Income,4
386,22,Student,No Income,5
387,23,Student,Below Rs.10000,2
388,23,Student,No Income,5
389,20,Student,No Income,4
390,24,Student,Below Rs.10000,3
391,22,Student,Below Rs.10000,3
392,22,Student,No Income,6
393,22,Student,Below Rs.10000,4
394,27,Employee,More than 50000,2
395,22,Student,No Income,3
396,24,Student,No Income,3
397,23,Student,No Income,2
398,23,Student,No Income,4
399,22,Student,No Income,5
400,23,Student,Below Rs.10000,2
401,23,Student,No Income,5
402,21,Student,No Income,4
403,23,Self Employeed,10001 to 25000,5
404,24,Student,No Income,6
405,28,Employee,25001 to 50000,2
406,23,Student,No Income,3
407,25,Student,No Income,4
408,21,Student,Below Rs.10000,1
409,24,Student,No Income,3
410,22,Student,No Income,4
411,22,Student,No Income,4
412,23,Student,No Income,4
413,21,Student,Below Rs.10000,3
414,25,Student,No Income,3
415,22,Student,No Income,5
416,22,Student,No Income,3
417,23,Employee,10001 to 25000,3
418,22,Student,Below Rs.10000,4
419,22,Employee,10001 to 25000,5
420,22,Student,No Income,4
421,25,Employee,More than 50000,4
422,22,Student,10001 to 25000,5
423,22,Student,No Income,2
424,25,Student,10001 to 25000,3
425,25,Student,No Income,5
426,32,House wife,No Income,5
427,23,Student,No Income,3
428,23,Student,No Income,4
429,30,Self Employeed,More than 50000,4
430,23,Student,No Income,3
431,23,Student,No Income,4
432,22,Student,No Income,5
433,22,Student,No Income,5
434,27,Self Employeed,10001 to 25000,2
435,24,Student,No Income,3
436,23,Student,No Income,2
437,23,Student,No Income,3
438,22,Student,10001 to 25000,5
439,23,Student,No Income,5
440,23,Student,No Income,2
441,24,Student,No Income,3
442,25,Student,No Income,2
443,22,Student,No Income,3
444,28,Student,No Income,2
445,22,Student,No Income,1
446,24,Student,No Income,3
447,31,Employee,More than 50000,5
448,25,Student,No Income,4
449,23,Student,No Income,5
450,22,Student,No Income,3
451,23,Student,25001 to 50000,1
452,23,Student,No Income,4
453,23,Student,No Income,2
454,25,Student,No Income,6
455,24,Employee,10001 to 25000,4
456,23,Student,No Income,4
457,23,Student,No Income,4
458,24,Employee,More than 50000,4
459,22,Student,No Income,4
460,24,Student,10001 to 25000,3
461,25,Student,No Income,3
462,23,Student,No Income,2
463,26,Student,No Income,4
464,24,Student,25001 to 50000,3
465,26,Student,No Income,4
466,21,Student,No Income,4
467,22,Student,No Income,3
468,24,Student,No Income,5
469,24,Student,10001 to 25000,4
470,23,Student,No Income,3
471,23,Student,No Income,3
472,22,Student,No Income,3
473,23,Student,No Income,3
474,24,Student,No Income,4
475,24,Student,No Income,5
476,25,Student,No Income,1
477,25,Student,No Income,5
478,28,Self Employeed,10001 to 25000,2
479,27,Employee,25001 to 50000,5
480,26,Self Employeed,10001 to 25000,1
481,22,Student,No Income,2
482,24,Student,No Income,3
483,23,Student,No Income,1
484,25,Student,No Income,1
485,23,Student,No Income,5
486,23,Student,No Income,5
487,26,Employee,25001 to 50000,5
488,32,House wife,No Income,3
489,24,Student,10001 to 25000,3
490,23,Student,No Income,2
491,22,Employee,10001 to 25000,3
492,24,Student,No Income,3
493,26,Employee,25001 to 50000,2
494,28,Employee,More than 50000,3
495,26,Employee,More than 50000,2
496,25,Student,No Income,1
497,25,Employee,Below Rs.10000,2
498,18,Student,No Income,5
499,21,Student,No Income,4
500,25,Student,No Income,1
501,25,Student,Below Rs.10000,2
502,23,Student,No Income,5
503,23,Employee,10001 to 25000,2
504,25,Employee,25001 to 50000,4
505,31,House wife,No Income,5
506,24,Self Employeed,More than 50000,2
507,32,Employee,25001 to 50000,5
508,25,Employee,25001 to 50000,3
509,27,Self Employeed,More than 50000,5
510,26,Self Employeed,25001 to 50000,3
511,26,Self Employeed,25001 to 50000,3
512,32,Employee,More than 50000,5
513,24,Self Employeed,More than 50000,6
514,27,Self Employeed,25001 to 50000,3
515,23,Student,No Income,3
516,25,Student,No Income,4
517,23,Student,No Income,3
518,23,Student,No Income,4
519,28,Employee,More than 50000,3
520,32,Employee,More than 50000,1
521,23,Student,No Income,2
522,19,Student,No Income,2
523,19,Student,No Income,4
524,27,Employee,25001 to 50000,2
525,25,Self Employeed,25001 to 50000,3
526,33,Employee,More than 50000,5
527,26,Employee,More than 50000,3
528,22,Student,Below Rs.10000,4
529,23,Student,No Income,3
530,22,Student,No Income,3
531,25,Employee,25001 to 50000,2
532,30,House wife,No Income,5
533,24,Student,No Income,3
534,25,Employee,10001 to 25000,3
535,23,Student,More than 50000,3
536,24,Student,No Income,4
537,32,Employee,10001 to 25000,4
538,22,Student,No Income,4
539,23,Student,More than 50000,3
540,23,Student,No Income,4
541,20,Student,No Income,2
542,21,Student,No Income,2
543,24,Self Employeed,10001 to 25000,5
544,23,Student,No Income,4
545,25,Employee,25001 to 50000,3
546,32,House wife,No Income,3
547,27,Employee,More than 50000,5
548,20,Student,No Income,2
549,21,Student,No Income,2
550,26,Employee,More than 50000,3
551,25,Employee,10001 to 25000,4
552,26,Employee,25001 to 50000,3
553,26,Employee,25001 to 50000,3
554,27,Employee,More than 50000,4
555,27,Student,No Income,5
556,24,Student,No Income,5
557,25,Self Employeed,More than 50000,2
558,20,Student,No Income,2
559,22,Student,No Income,1
560,26,Student,Below Rs.10000,3
561,27,Employee,25001 to 50000,1
562,25,Student,No Income,3
563,24,Employee,Below Rs.10000,2
564,23,Employee,10001 to 25000,6
565,22,Student,No Income,2
566,26,Self Employeed,More than 50000,3
567,26,Employee,Below Rs.10000,1
568,25,Self Employeed,25001 to 50000,3
569,29,Employee,More than 50000,3
570,23,Student,Below Rs.10000,3
571,22,Employee,25001 to 50000,4
572,22,Student,No Income,2
573,32,House wife,No Income,5
574,28,Employee,More than 50000,1
575,22,Student,No Income,2
576,25,Employee,10001 to 25000,2
577,26,Employee,25001 to 50000,2
578,31,Self Employeed,More than 50000,6
579,24,Student,No Income,3
580,24,Employee,25001 to 50000,2
581,31,Employee,More than 50000,5
582,26,Employee,25001 to 50000,2
583,24,Self Employeed,More than 50000,2
584,22,Student,No Income,3
585,19,Student,No Income,6
586,25,Employee,More than 50000,6
587,23,House wife,No Income,6
588,23,Student,No Income,2
589,23,Student,No Income,2
590,24,Student,No Income,5
591,22,Employee,25001 to 50000,4
592,26,Employee,More than 50000,4
593,25,Student,No Income,3
594,20,Student,No Income,2
595,29,Employee,25001 to 50000,4
596,23,Student,No Income,1
597,25,Self Employeed,More than 50000,2
598,29,Employee,25001 to 50000,4
599,27,Self Employeed,25001 to 50000,6
600,25,Self Employeed,10001 to 25000,3
601,21,Student,No Income,2
602,23,Student,No Income,3
603,24,Employee,10001 to 25000,4
604,32,Self Employeed,10001 to 25000,3
605,28,Employee,25001 to 50000,5
606,26,Employee,10001 to 25000,2
607,31,House wife,No Income,5
608,27,Self Employeed,25001 to 50000,3
609,21,Student,No Income,1
610,23,Student,No Income,2
611,26,Employee,10001 to 25000,4
612,32,Employee,More than 50000,5
613,25,Student,No Income,2
614,28,Self Employeed,10001 to 25000,2
615,21,Student,No Income,3
616,24,Student,No Income,2
617,26,Self Employeed,10001 to 25000,5
618,32,Employee,25001 to 50000,3
619,29,Self Employeed,More than 50000,6
620,21,Student,No Income,5
621,24,Self Employeed,25001 to 50000,3
622,26,Self Employeed,More than 50000,2
623,25,Employee,More than 50000,3
624,29,Employee,25001 to 50000,3
625,22,Student,No Income,3
626,24,Student,No Income,2
627,27,Employee,25001 to 50000,2
628,23,Student,No Income,3
629,32,Employee,More than 50000,6
630,22,Student,No Income,2
631,28,Employee,25001 to 50000,3
632,23,Student,No Income,2
633,30,Self Employeed,More than 50000,1
634,21,Student,No Income,3
635,26,Employee,Below Rs.10000,6
636,25,Self Employeed,More than 50000,3
637,31,Employee,Below Rs.10000,1
638,23,Employee,25001 to 50000,2
639,29,Employee,25001 to 50000,3
640,21,Student,No Income,6
641,20,Student,No Income,3
642,22,Employee,10001 to 25000,2
643,30,House wife,No Income,6
644,27,Self Employeed,More than 50000,3
645,23,Student,No Income,2
646,30,Self Employeed,25001 to 50000,6
647,23,Student,No Income,3
648,28,Employee,25001 to 50000,6
649,30,Self Employeed,More than 50000,6
650,24,Employee,25001 to 50000,2
651,21,Student,No Income,2
652,23,Employee,10001 to 25000,3
653,25,Self Employeed,More than 50000,4
654,24,Employee,25001 to 50000,2
655,26,Employee,10001 to 25000,3
656,25,Employee,25001 to 50000,2
657,22,Student,25001 to 50000,3
658,26,Employee,25001 to 50000,2
659,23,Employee,10001 to 25000,2
660,21,Employee,Below Rs.10000,2
661,25,Self Employeed,25001 to 50000,3
662,24,Employee,10001 to 25000,2
663,22,Student,No Income,2
664,23,Student,No Income,4
665,24,Employee,More than 50000,3
666,22,Student,No Income,2
667,30,Employee,More than 50000,5
668,23,Employee,10001 to 25000,4
669,19,Student,No Income,6
670,21,Student,No Income,2
671,23,Student,No Income,4
672,24,Employee,25001 to 50000,3
673,26,Employee,10001 to 25000,2
674,26,Student,No Income,2
675,25,Student,10001 to 25000,2
676,28,Employee,25001 to 50000,5
677,25,Student,No Income,3
678,20,Student,No Income,2
679,27,Self Employeed,More than 50000,6
680,25,Employee,25001 to 50000,3
681,24,Student,No Income,5
682,25,Employee,More than 50000,1
683,25,Employee,25001 to 50000,3
684,24,Student,Below Rs.10000,5
685,24,Student,No Income,3
686,22,Employee,10001 to 25000,1
687,28,Employee,25001 to 50000,2
688,25,Employee,More than 50000,6
689,22,Student,Below Rs.10000,3
690,22,Student,No Income,6
691,22,Student,Below Rs.10000,4
692,27,Employee,More than 50000,2
693,22,Student,No Income,3
694,24,Student,No Income,3
695,23,Student,No Income,2
696,23,Student,No Income,4
697,22,Student,No Income,5
698,23,Student,Below Rs.10000,2
699,32,Employee,More than 50000,5
700,25,Student,No Income,2
701,28,Self Employeed,10001 to 25000,2
702,21,Student,No Income,3
703,24,Student,No Income,2
704,26,Self Employeed,10001 to 25000,5
705,32,Employee,25001 to 50000,3
706,29,Self Employeed,More than 50000,6
707,21,Student,No Income,5
708,24,Self Employeed,25001 to 50000,3
709,26,Self Employeed,More than 50000,2
710,21,Employee,More than 50000,3
711,29,Employee,25001 to 50000,3
712,22,Student,No Income,3
713,24,Student,No Income,2
714,27,Employee,25001 to 50000,2
715,23,Student,No Income,3
716,32,Employee,More than 50000,6
717,22,Student,No Income,2
718,22,Employee,25001 to 50000,4
719,26,Employee,More than 50000,4
720,25,Student,No Income,3
721,20,Student,No Income,2
722,29,Employee,25001 to 50000,4
723,23,Student,No Income,1
724,25,Self Employeed,More than 50000,2
725,29,Employee,25001 to 50000,4
726,27,Self Employeed,25001 to 50000,6
727,25,Self Employeed,10001 to 25000,3
728,21,Student,No Income,2
729,23,Student,No Income,3
730,24,Employee,10001 to 25000,4
731,22,Self Employeed,10001 to 25000,3
732,28,Employee,25001 to 50000,5
733,26,Employee,10001 to 25000,2
734,22,Employee,25001 to 50000,4
735,26,Employee,More than 50000,4
736,25,Student,No Income,3
737,20,Student,No Income,2
738,29,Employee,25001 to 50000,4
739,23,Student,No Income,1
740,25,Self Employeed,More than 50000,2
741,29,Employee,25001 to 50000,4
742,27,Self Employeed,25001 to 50000,6
743,25,Self Employeed,10001 to 25000,3
744,21,Student,No Income,2
745,24,Student,No Income,2
746,26,Self Employeed,10001 to 25000,5
747,32,Employee,25001 to 50000,3
748,29,Self Employeed,More than 50000,6
749,21,Student,No Income,5
750,24,Self Employeed,25001 to 50000,3
751,26,Self Employeed,More than 50000,2
752,31,Employee,More than 50000,3
753,29,Employee,25001 to 50000,3
754,22,Student,No Income,3
755,24,Student,No Income,2
756,27,Employee,25001 to 50000,2
757,23,Student,No Income,3
758,30,Employee,More than 50000,6
759,22,Student,No Income,2
760,28,Employee,25001 to 50000,3
761,23,Student,No Income,2
762,30,Self Employeed,More than 50000,1
763,21,Student,No Income,3
764,26,Employee,Below Rs.10000,6
765,25,Self Employeed,More than 50000,3
766,31,Employee,Below Rs.10000,1
767,23,Employee,25001 to 50000,2
768,22,Student,Below Rs.10000,4
769,27,Employee,More than 50000,2
770,22,Student,No Income,3
771,24,Student,No Income,3
772,23,Student,No Income,2
773,23,Student,No Income,4
774,22,Student,No Income,5
775,23,Student,Below Rs.10000,2
776,23,Student,No Income,5
777,20,Student,No Income,4
778,24,Student,Below Rs.10000,3
779,22,Student,Below Rs.10000,3
780,22,Student,No Income,6
781,22,Student,Below Rs.10000,4
782,27,Employee,More than 50000,2
783,22,Student,No Income,3
784,24,Student,No Income,3
785,23,Student,No Income,2
786,23,Student,No Income,4
787,22,Student,No Income,5
788,23,Student,Below Rs.10000,2
789,23,Student,No Income,5
790,21,Student,No Income,4
791,23,Self Employeed,10001 to 25000,5
792,24,Student,No Income,6
793,28,Employee,25001 to 50000,2
794,23,Student,No Income,3
795,25,Student,No Income,4
796,21,Student,Below Rs.10000,1
797,24,Student,No Income,3
798,22,Student,No Income,4
799,22,Student,No Income,4
800,23,Student,No Income,4
801,21,Student,Below Rs.10000,3
802,25,Student,No Income,3
803,22,Student,No Income,5
804,22,Student,No Income,3
805,23,Employee,10001 to 25000,3
806,22,Student,Below Rs.10000,4
807,22,Employee,10001 to 25000,5
808,22,Student,No Income,4
809,25,Employee,More than 50000,4
810,22,Student,10001 to 25000,5
811,22,Student,No Income,2
812,25,Student,10001 to 25000,3
813,25,Student,No Income,5
814,32,House wife,No Income,5
815,23,Student,No Income,3
816,23,Student,No Income,4
817,30,Self Employeed,More than 50000,4
818,23,Student,No Income,3
819,23,Student,No Income,4
820,22,Student,No Income,5
821,22,Student,No Income,5
822,27,Self Employeed,10001 to 25000,2
823,24,Student,No Income,3
824,23,Student,No Income,2
825,23,Student,No Income,3
826,22,Student,10001 to 25000,5
827,23,Student,No Income,5
828,23,Student,No Income,2
829,24,Student,No Income,3
830,25,Student,No Income,2
831,22,Student,No Income,3
832,28,Student,No Income,2
833,22,Student,No Income,1
834,24,Student,No Income,3
835,31,Employee,More than 50000,5
836,25,Student,No Income,4
837,23,Student,No Income,5
838,22,Student,No Income,3
839,23,Student,25001 to 50000,1
840,23,Student,No Income,4
841,23,Student,No Income,2
842,25,Student,No Income,6
843,24,Employee,10001 to 25000,4
844,23,Student,No Income,4
845,23,Student,No Income,4
846,24,Employee,More than 50000,4
847,22,Student,No Income,4
848,24,Student,10001 to 25000,3
849,25,Student,No Income,3
850,23,Student,No Income,2
851,26,Student,No Income,4
852,24,Student,25001 to 50000,3
853,26,Student,No Income,4
854,21,Student,No Income,4
855,22,Student,No Income,3
856,24,Student,No Income,5
857,24,Student,10001 to 25000,4
858,23,Student,No Income,3
859,23,Student,No Income,3
860,22,Student,No Income,3
861,23,Student,No Income,3
862,24,Student,No Income,4
863,24,Student,No Income,5
864,25,Student,No Income,1
865,25,Student,No Income,5
866,28,Self Employeed,10001 to 25000,2
867,27,Employee,25001 to 50000,5
868,26,Self Employeed,10001 to 25000,1
869,22,Student,No Income,2
870,24,Student,No Income,3
871,23,Student,No Income,1
872,25,Student,No Income,1
873,23,Student,No Income,5
874,23,Student,No Income,5
875,26,Employee,25001 to 50000,5
876,32,House wife,No Income,3
877,24,Student,10001 to 25000,3
878,23,Student,No Income,2
879,22,Employee,10001 to 25000,3
880,24,Student,No Income,3
881,26,Employee,25001 to 50000,2
882,28,Employee,More than 50000,3
883,26,Employee,More than 50000,2
884,25,Student,No Income,1
885,25,Employee,Below Rs.10000,2
886,18,Student,No Income,5
887,21,Student,No Income,4
888,25,Student,No Income,1
889,25,Student,Below Rs.10000,2
890,23,Student,No Income,5
891,23,Employee,10001 to 25000,2
892,25,Employee,25001 to 50000,4
893,31,House wife,No Income,5
894,24,Self Employeed,More than 50000,2
895,32,Employee,25001 to 50000,5
896,25,Employee,25001 to 50000,3
